"pathway_a","pathway_b","correlation","partial_correlation","p_value","FDR"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_PANCREAS_BETA_CELLS",0.237629568427943,0.0647262243671854,0.03634356319476,0.0733457412085355
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_PEROXISOME",0.0709266395878805,-0.0457786830492631,0.138986415358104,0.218000459428524
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.348887099299806,0.191954137761941,3.87365716707198e-10,4.65218630359134e-09
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_PROTEIN_SECRETION",0.128679675395916,-0.0891440019394955,0.00390932408207659,0.0112152740059574
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.282652094142557,-0.0597932797642717,0.0532057393013307,0.0995069170139391
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_SPERMATOGENESIS",0.131656056149365,0.044409261336876,0.151209689087795,0.233878622642108
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_TGF_BETA_SIGNALING",0.29891902488481,-0.107284227019419,0.000509588028431559,0.00192075487639587
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.745035796317753,-0.238367290480382,5.58755397349554e-15,1.22227743170215e-13
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.0959741123095661,-0.0489039028152982,0.113946430475316,0.187613410392825
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_UV_RESPONSE_DN",0.344157139937094,-0.0233549783729899,0.450522227227336,0.551889728353486
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_UV_RESPONSE_UP",0.505651683208385,-0.0368235467273457,0.234076305867845,0.331879021629757
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.304732082328464,0.00321609541951645,0.917256158162765,0.942649994756197
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_XENOBIOTIC_METABOLISM",0.30836567538458,-0.0328638113638989,0.288283433170856,0.388928640566408
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANGIOGENESIS",0.49046350203728,-0.0571735717533742,0.0645438612152082,0.116789113720281
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_APICAL_JUNCTION",0.593197002222511,-0.149813733187742,1.13326404294462e-06,7.50404568976846e-06
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_APICAL_SURFACE",0.529701962965155,0.0606466906783238,0.0498917987663591,0.0947557418430851
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_APOPTOSIS",0.627000892023566,0.133308636723387,1.52101692917927e-05,8.31806133144915e-05
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_BILE_ACID_METABOLISM",0.745138781559208,-0.00105999396311939,0.972684763324847,0.981498216699289
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.810851870340701,0.508625404961442,6.63490168635544e-70,6.77312880482117e-68
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_COAGULATION",0.41030586414139,0.108740673850182,0.000426483300613173,0.00166735790844111
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_COMPLEMENT",0.382675534946553,0.0117193638825626,0.704994896017754,0.775937778635893
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_DNA_REPAIR",0.546900669140846,-0.0593546968517001,0.0549790416260214,0.102354598771848
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_E2F_TARGETS",0.313127575142871,-0.035078732774816,0.257001817181509,0.356838405175846
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.420819183393434,-0.0969251555636802,0.00169878945090929,0.00540523916198411
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.601561059069193,0.113539607682054,0.000233597213082373,0.000990161197321478
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ESTROGEN_RESPONSE_LATE",0.710638071892188,-0.00495910749697799,0.872726454580573,0.906776850603225
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_FATTY_ACID_METABOLISM",0.790671763993033,0.165981416937608,6.69264455607779e-08,5.38468902549914e-07
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_G2M_CHECKPOINT",0.284585411777075,0.0269581805470027,0.383756770729225,0.488671563558524
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_GLYCOLYSIS",0.683864222644531,-0.141812810868935,4.13848962320698e-06,2.58655601450436e-05
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_HEDGEHOG_SIGNALING",0.514357894511735,0.0236272332345922,0.445258840513515,0.546535149928914
