gene_symbol,string_id
CCP110,9606.ENSP00000370803
CCR1,9606.ENSP00000296140
CCR2,9606.ENSP00000292301
CCR4,9606.ENSP00000332659
CCR5,9606.ENSP00000292303
CCR7,9606.ENSP00000246657
CCR8,9606.ENSP00000326432
CCRL2,9606.ENSP00000349967
CCSER2,9606.ENSP00000361160
CCT2,9606.ENSP00000299300
CCT3,9606.ENSP00000295688
CCT4,9606.ENSP00000377958
CCT5,9606.ENSP00000280326
CCT6A,9606.ENSP00000275603
CCT6B,9606.ENSP00000327191
CCT7,9606.ENSP00000258091
CD14,9606.ENSP00000385519
CD151,9606.ENSP00000324101
CD1D,9606.ENSP00000501245
CD2,9606.ENSP00000358490
CD207,9606.ENSP00000386378
CD209,9606.ENSP00000315477
CD247,9606.ENSP00000354782
CD274,9606.ENSP00000370989
CD276,9606.ENSP00000320084
CD28,9606.ENSP00000324890
CD2AP,9606.ENSP00000352264
CD302,9606.ENSP00000259053
CD34,9606.ENSP00000310036
CD36,9606.ENSP00000415743
CD37,9606.ENSP00000325708
CD38,9606.ENSP00000226279
CD3D,9606.ENSP00000300692
CD3E,9606.ENSP00000354566
CD3G,9606.ENSP00000431445
CD4,9606.ENSP00000011653
CD40,9606.ENSP00000361359
CD40LG,9606.ENSP00000359663
CD44,9606.ENSP00000398632
CD46,9606.ENSP00000313875
CD47,9606.ENSP00000355361
CD48,9606.ENSP00000484431
CD55,9606.ENSP00000356030
CD59,9606.ENSP00000498879
CD63,9606.ENSP00000447730
CD69,9606.ENSP00000228434
CD7,9606.ENSP00000312027
CD70,9606.ENSP00000395294
CD74,9606.ENSP00000009530
CD79A,9606.ENSP00000221972
CD79B,9606.ENSP00000376544
CD80,9606.ENSP00000264246
CD81,9606.ENSP00000263645
CD82,9606.ENSP00000227155
CD83,9606.ENSP00000368450
CD86,9606.ENSP00000332049
CD8A,9606.ENSP00000386559
CD8B,9606.ENSP00000331172
CD9,9606.ENSP00000371958
CD96,9606.ENSP00000283285
CD99,9606.ENSP00000370588
CDA,9606.ENSP00000364212
CDADC1,9606.ENSP00000251108
CDC14B,9606.ENSP00000364389
CDC20,9606.ENSP00000361540
CDC25A,9606.ENSP00000303706
CDC25B,9606.ENSP00000245960
CDC27,9606.ENSP00000434614
CDC34,9606.ENSP00000215574
CDC42,9606.ENSP00000497733
CDC42BPA,9606.ENSP00000355731
CDC42EP1,9606.ENSP00000249014
CDC42EP4,9606.ENSP00000338258
CDC42SE2,9606.ENSP00000427421
CDC45,9606.ENSP00000405726
CDC5L,9606.ENSP00000360532
CDC6,9606.ENSP00000209728
CDC7,9606.ENSP00000393139
CDCA3,9606.ENSP00000442068
CDCA8,9606.ENSP00000362146
CDCP1,9606.ENSP00000296129
CDH1,9606.ENSP00000261769
CDH11,9606.ENSP00000268603
CDH13,9606.ENSP00000268613
CDH2,9606.ENSP00000269141
CDH3,9606.ENSP00000264012
CDH6,9606.ENSP00000265071
CDK1,9606.ENSP00000378699
CDK13,9606.ENSP00000181839
CDK2,9606.ENSP00000266970
CDK4,9606.ENSP00000257904
CDK5R1,9606.ENSP00000318486
CDK5RAP2,9606.ENSP00000343818
CDK6,9606.ENSP00000265734
CDK7,9606.ENSP00000256443
CDK8,9606.ENSP00000370938
CDK9,9606.ENSP00000362361
CDKAL1,9606.ENSP00000274695
CDKN1A,9606.ENSP00000384849
CDKN1B,9606.ENSP00000228872
CDKN1C,9606.ENSP00000413720
CDKN2A,9606.ENSP00000418915
CDKN2AIP,9606.ENSP00000427108
CDKN2B,9606.ENSP00000276925
CDKN2C,9606.ENSP00000262662
CDKN2D,9606.ENSP00000377224
CDKN3,9606.ENSP00000335357
CDO1,9606.ENSP00000250535
CDON,9606.ENSP00000376458
CDR2,9606.ENSP00000268383
CEBPA,9606.ENSP00000427514
CEBPB,9606.ENSP00000305422
CEBPD,9606.ENSP00000386165
CEBPG,9606.ENSP00000466022
CEL,9606.ENSP00000501111
CELF2,9606.ENSP00000488422
CELSR1,9606.ENSP00000262738
CELSR2,9606.ENSP00000271332
CENPA,9606.ENSP00000336868
CENPE,9606.ENSP00000265148
CENPF,9606.ENSP00000355922
CENPM,9606.ENSP00000215980
CENPN,9606.ENSP00000377007
CEP131,9606.ENSP00000269392
CEP192,9606.ENSP00000427550
CEP250,9606.ENSP00000380661
CEP57,9606.ENSP00000317902
CEP72,9606.ENSP00000264935
CERCAM,9606.ENSP00000361929
CES1,9606.ENSP00000353720
CETN2,9606.ENSP00000359300
CFB,9606.ENSP00000416561
CFD,9606.ENSP00000468253
CFH,9606.ENSP00000356399
CFI,9606.ENSP00000378131
CFL1,9606.ENSP00000432660
CFLAR,9606.ENSP00000312455
CGRRF1,9606.ENSP00000216420
CH25H,9606.ENSP00000360918
CHAC1,9606.ENSP00000484644
CHAF1A,9606.ENSP00000301280
CHCHD10,9606.ENSP00000384973
CHEK1,9606.ENSP00000391090
CHEK2,9606.ENSP00000372023
CHFR,9606.ENSP00000392395
CHKA,9606.ENSP00000265689
CHMP1A,9606.ENSP00000380998
CHPF,9606.ENSP00000243776
CHPF2,9606.ENSP00000035307
CHPT1,9606.ENSP00000229266
CHRM4,9606.ENSP00000409378
CHRNA1,9606.ENSP00000261007
CHRNA5,9606.ENSP00000299565
CHRNB1,9606.ENSP00000304290
CHST1,9606.ENSP00000309270
CHST12,9606.ENSP00000481912
CHST2,9606.ENSP00000307911
CHST3,9606.ENSP00000362207
CHST6,9606.ENSP00000328983
CHST8,9606.ENSP00000262622
CHUK,9606.ENSP00000359424
CIDEA,9606.ENSP00000320209
CIITA,9606.ENSP00000485010
CIR1,9606.ENSP00000339723
CISH,9606.ENSP00000409346
CIT,9606.ENSP00000376306
CITED2,9606.ENSP00000444198
