"interaction","name","ScoreAverage","selected","shared interaction","shared name"
"pp","GP160 (pp) 19172954","0.962","false","pp","GP160 (pp) 19172954"
"pp","NEF (pp) P31040","0.382","false","pp","NEF (pp) P31040"
"pp","NEF (pp) Q9NZJ7","0.376","false","pp","NEF (pp) Q9NZJ7"
"pp","NEF (pp) Q96A65","0.385","false","pp","NEF (pp) Q96A65"
"pp","NEF (pp) P42771","0.384","false","pp","NEF (pp) P42771"
"pp","NEF (pp) P13995","0.51","false","pp","NEF (pp) P13995"
"pp","NEF (pp) Q969X5","0.389","false","pp","NEF (pp) Q969X5"
"pp","NEF (pp) O14734","0.894","false","pp","NEF (pp) O14734"
"pp","NEF (pp) P30419","0.883","false","pp","NEF (pp) P30419"
"pp","NEF (pp) 28872818.1","0.982","false","pp","NEF (pp) 28872818.1"
"pp","NEF (pp) 28872818","0.978","false","pp","NEF (pp) 28872818"
"pp","NC (pp) P55769","0.387","false","pp","NC (pp) P55769"
"pp","NC (pp) Q9Y3B7","0.386","false","pp","NC (pp) Q9Y3B7"
"pp","NC (pp) Q7Z739","0.391","false","pp","NC (pp) Q7Z739"
"pp","NC (pp) Q9UGY1","0.39","false","pp","NC (pp) Q9UGY1"
"pp","NC (pp) O14974","0.393","false","pp","NC (pp) O14974"
"pp","NC (pp) Q9UI47","0.391","false","pp","NC (pp) Q9UI47"
"pp","NC (pp) O75534","0.406","false","pp","NC (pp) O75534"
"pp","NC (pp) Q9Y3F4","0.394","false","pp","NC (pp) Q9Y3F4"
"pp","NC (pp) Q9NXG2","0.411","false","pp","NC (pp) Q9NXG2"
"pp","NC (pp) Q8N1G4","0.407","false","pp","NC (pp) Q8N1G4"
"pp","NC (pp) Q99873","0.47","false","pp","NC (pp) Q99873"
"pp","NC (pp) P13489","0.435","false","pp","NC (pp) P13489"
"pp","P6 (pp) 19172951","0.926","false","pp","P6 (pp) 19172951"
