Hallmark pathway,Gene symbol,STRING ID,Degree centrality
HALLMARK_ALLOGRAFT_REJECTION,LYN,9606.ENSP00000428924,0.101796407185629
HALLMARK_ALLOGRAFT_REJECTION,IFNGR1,9606.ENSP00000356713,0.0958083832335329
HALLMARK_ALLOGRAFT_REJECTION,FCGR2B,9606.ENSP00000351497,0.0898203592814371
HALLMARK_ALLOGRAFT_REJECTION,CSF1,9606.ENSP00000327513,0.0838323353293413
HALLMARK_ALLOGRAFT_REJECTION,ITGAL,9606.ENSP00000349252,0.0838323353293413
HALLMARK_ALLOGRAFT_REJECTION,RPS9,9606.ENSP00000375632,0.0838323353293413
HALLMARK_ALLOGRAFT_REJECTION,HLA-DMA,9606.ENSP00000363976,0.0778443113772455
HALLMARK_ALLOGRAFT_REJECTION,HLA-DQA1,9606.ENSP00000339398,0.0778443113772455
HALLMARK_ALLOGRAFT_REJECTION,IL11,9606.ENSP00000264563,0.0778443113772455
HALLMARK_ALLOGRAFT_REJECTION,IL27RA,9606.ENSP00000263379,0.0778443113772455
HALLMARK_ALLOGRAFT_REJECTION,RPS3A,9606.ENSP00000346050,0.0778443113772455
HALLMARK_ALLOGRAFT_REJECTION,SOCS1,9606.ENSP00000496577,0.0778443113772455
HALLMARK_ALLOGRAFT_REJECTION,HLA-DOA,9606.ENSP00000229829,0.0718562874251497
HALLMARK_ALLOGRAFT_REJECTION,IRF7,9606.ENSP00000380697,0.0718562874251497
HALLMARK_ALLOGRAFT_REJECTION,LIF,9606.ENSP00000249075,0.0718562874251497
HALLMARK_ALLOGRAFT_REJECTION,PTPN6,9606.ENSP00000391592,0.0718562874251497
HALLMARK_ALLOGRAFT_REJECTION,TRAF2,9606.ENSP00000247668,0.0718562874251497
HALLMARK_ALLOGRAFT_REJECTION,TRAT1,9606.ENSP00000295756,0.0718562874251497
HALLMARK_ALLOGRAFT_REJECTION,CCL13,9606.ENSP00000225844,0.0658682634730539
HALLMARK_ALLOGRAFT_REJECTION,CCL7,9606.ENSP00000367832,0.0658682634730539
HALLMARK_ALLOGRAFT_REJECTION,CD79A,9606.ENSP00000221972,0.0658682634730539
HALLMARK_ALLOGRAFT_REJECTION,CD8B,9606.ENSP00000331172,0.0658682634730539
HALLMARK_ALLOGRAFT_REJECTION,HLA-DMB,9606.ENSP00000398890,0.0658682634730539
HALLMARK_ALLOGRAFT_REJECTION,NCK1,9606.ENSP00000417273,0.0658682634730539
HALLMARK_ALLOGRAFT_REJECTION,RPS19,9606.ENSP00000470972,0.0658682634730539
HALLMARK_ALLOGRAFT_REJECTION,ABCE1,9606.ENSP00000296577,0.0598802395209581
HALLMARK_ALLOGRAFT_REJECTION,CD1D,9606.ENSP00000501245,0.0598802395209581
